date,h
1905-09-01 08:00:00,104.0
1905-10-19 08:00:00,90.0
1905-11-24 15:00:00,318.0
1905-12-01 00:01:00,268.0
1906-01-20 08:00:00,324.0
1906-02-28 23:59:00,361.0
1906-03-06 15:00:00,441.0
1906-04-02 15:00:00,162.0
1906-05-03 08:00:00,139.0
1906-06-23 08:00:00,113.0
1906-07-02 08:00:00,97.0
1906-08-22 08:00:00,95.0
1906-09-21 08:00:00,92.0
1906-10-27 08:00:00,97.0
1906-11-23 08:00:00,117.0
1906-12-17 08:00:00,206.0
1907-01-04 15:00:00,310.0
1907-02-25 08:00:00,320.0
1907-03-01 08:00:00,298.0
1907-04-01 15:00:00,170.0
1907-05-11 15:00:00,200.0
1907-06-05 08:00:00,120.0
1907-07-05 08:00:00,115.0
1907-08-29 08:00:00,95.0
1907-09-04 08:00:00,95.0
1907-10-19 08:00:00,123.0
1907-11-27 08:00:00,133.0
1907-12-16 15:00:00,242.0
1908-01-31 23:59:00,155.0
1908-02-29 23:59:00,362.0
1908-03-09 15:00:00,424.0
1908-04-03 08:00:00,202.0
1908-05-14 15:00:00,210.0
1908-06-16 08:00:00,172.0
1908-07-22 08:00:00,102.0
1908-08-28 08:00:00,93.0
1908-09-08 08:00:00,100.0
1908-10-01 08:00:00,92.0
1908-11-25 08:00:00,110.0
1908-12-31 23:59:00,147.0
1909-01-19 08:00:00,202.0
1909-02-14 08:00:00,130.0
1909-03-31 23:59:00,311.0
1909-04-01 08:00:00,312.0
1909-05-01 08:00:00,144.0
1909-06-17 08:00:00,116.0
1909-07-18 08:00:00,142.0
1909-08-01 00:01:00,103.0
1909-09-14 15:00:00,155.0
1909-10-30 15:00:00,170.0
1909-11-03 15:00:00,170.0
1909-12-31 15:00:00,345.0
1910-01-28 12:00:00,862.0
1910-02-01 00:01:00,775.0
1910-03-01 17:00:00,561.0
1910-04-16 15:00:00,200.0
1910-05-15 15:00:00,332.0
1910-06-18 08:00:00,294.0
1910-07-17 08:00:00,331.0
1910-08-02 15:00:00,230.0
1910-09-02 08:00:00,130.0
1910-10-16 08:00:00,115.0
1910-11-20 11:00:00,597.0
1910-12-01 08:00:00,480.0
1911-01-01 00:01:00,389.0
1911-02-27 15:00:00,215.0
1911-03-18 08:00:00,210.0
1911-04-01 00:01:00,189.0
1911-05-02 08:00:00,110.0
1911-06-06 08:00:00,110.0
1911-07-01 08:00:00,105.0
1911-08-13 08:00:00,122.0
1911-09-30 23:59:00,88.7
1911-10-29 08:00:00,108.0
1911-11-25 15:00:00,212.0
1911-12-28 15:00:00,328.0
1912-01-13 23:59:00,456.0
1912-02-12 08:00:00,192.0
1912-03-09 08:00:00,242.0
1912-04-01 15:00:00,210.0
1912-05-10 08:00:00,110.0
1912-06-15 08:00:00,110.0
1912-07-02 08:00:00,109.0
1912-08-31 23:59:00,120.0
1912-09-03 08:00:00,130.0
1912-10-31 23:59:00,153.0
1912-11-04 08:00:00,212.0
1912-12-29 15:00:00,242.0
1913-01-25 15:00:00,339.0
1913-02-04 08:00:00,426.0
1913-03-31 23:59:00,208.0
1913-04-22 15:00:00,298.0
1913-05-19 15:00:00,324.0
1913-06-04 15:00:00,160.0
1913-07-23 08:00:00,122.0
1913-08-23 08:00:00,115.0
1913-09-08 08:00:00,130.0
1913-10-12 08:00:00,119.0
1913-11-21 08:00:00,244.0
1913-12-29 15:00:00,335.0
1914-01-12 15:00:00,340.0
1914-02-25 15:00:00,290.0
1914-03-31 15:00:00,487.0
1914-04-01 08:00:00,485.0
1914-05-04 08:00:00,146.0
1914-06-17 08:00:00,139.0
1914-07-06 08:00:00,125.0
1914-08-07 08:00:00,120.0
1914-09-27 08:00:00,132.0
1914-10-01 00:01:00,119.0
1914-11-20 08:00:00,149.0
1914-12-22 15:00:00,235.0
1915-01-24 15:00:00,400.0
1915-02-16 08:00:00,290.0
1915-03-04 08:00:00,226.0
1915-04-12 15:00:00,381.0
1915-05-07 08:00:00,155.0
1915-06-02 08:00:00,113.0
1915-07-01 00:01:00,96.7
1915-08-25 08:00:00,104.0
1915-09-29 08:00:00,111.0
1915-10-16 08:00:00,104.0
1915-11-15 08:00:00,112.0
1915-12-28 08:00:00,360.0
1916-01-01 00:01:00,322.0
1916-02-29 23:59:00,473.0
1916-03-01 07:00:00,475.0
1916-04-25 07:00:00,260.0
1916-05-01 00:01:00,205.0
1916-06-21 07:00:00,147.0
1916-07-07 07:00:00,208.0
1916-08-22 07:00:00,120.0
1916-09-08 07:00:00,110.0
1916-10-31 07:00:00,204.0
1916-11-29 07:00:00,286.0
1916-12-30 15:00:00,362.0
1917-01-13 08:00:00,476.0
1917-02-24 08:00:00,186.0
1917-03-31 23:59:00,289.0
1917-04-03 07:00:00,345.0
1917-05-01 00:01:00,196.0
1917-06-01 00:01:00,126.0
1917-07-03 07:00:00,111.0
1917-08-17 07:00:00,115.0
1917-09-16 07:00:00,98.0
1917-10-21 15:00:00,200.0
1917-11-06 08:00:00,225.0
1917-12-01 08:00:00,200.0
1918-01-20 15:00:00,370.0
1918-02-01 00:01:00,206.0
1918-03-09 08:00:00,254.0
1918-04-06 07:00:00,284.0
1918-05-15 07:00:00,273.0
1918-06-02 07:00:00,149.0
1918-07-01 00:01:00,102.0
1918-08-15 07:00:00,99.0
1918-09-17 07:00:00,106.0
1918-10-20 07:00:00,103.0
1918-11-30 23:59:00,122.0
1918-12-29 08:00:00,348.0
1919-01-10 08:00:00,611.0
1919-02-28 23:59:00,471.0
1919-03-01 08:00:00,480.0
1919-04-17 08:00:00,440.0
1919-05-07 08:00:00,400.0
1919-06-01 00:01:00,157.0
1919-07-10 08:00:00,110.0
1919-08-22 08:00:00,97.0
1919-09-24 08:00:00,95.0
1919-10-04 08:00:00,97.0
1919-11-30 08:00:00,286.0
1919-12-31 23:59:00,519.0
1920-01-05 08:00:00,665.0
1920-02-01 08:00:00,300.0
1920-03-19 08:00:00,256.0
1920-04-15 07:00:00,335.0
1920-05-03 07:00:00,214.0
1920-06-01 00:01:00,117.0
1920-07-09 07:00:00,113.0
1920-08-07 07:00:00,98.0
1920-09-03 07:00:00,105.0
1920-10-18 07:00:00,114.0
1920-11-16 08:00:00,94.0
1920-12-07 08:00:00,107.0
1921-01-21 07:00:00,119.0
1921-02-12 08:00:00,115.0
1921-03-01 08:00:00,101.0
1921-04-23 07:00:00,98.0
1921-05-22 07:00:00,116.0
1921-06-06 07:00:00,99.0
1921-07-26 07:00:00,119.0
1921-08-16 07:00:00,104.0
1921-09-14 07:00:00,107.0
1921-10-24 07:00:00,105.0
1921-11-03 07:00:00,101.0
1921-12-05 07:00:00,97.0
1922-01-17 07:00:00,169.0
1922-02-13 07:00:00,221.0
1922-03-01 00:01:00,164.0
1922-04-30 23:59:00,354.0
1922-05-06 15:00:00,404.0
1922-06-01 00:01:00,120.0
1922-07-06 07:00:00,99.0
1922-08-30 07:00:00,100.0
1922-09-15 07:00:00,103.0
1922-10-31 07:00:00,114.0
1922-11-12 07:00:00,226.0
1922-12-31 23:59:00,340.0
1923-01-10 07:00:00,374.0
1923-02-28 23:59:00,341.0
1923-03-12 14:00:00,532.0
1923-04-01 00:01:00,176.0
1923-05-18 07:00:00,148.0
1923-06-01 00:01:00,123.0
1923-07-17 07:00:00,110.0
1923-08-06 07:00:00,106.0
1923-09-21 07:00:00,107.0
1923-10-31 23:59:00,231.0
1923-11-30 23:59:00,258.0
1923-12-31 23:59:00,597.0
1924-01-06 07:00:00,732.0
1924-02-01 00:01:00,216.0
1924-03-08 07:00:00,307.0
1924-04-18 07:00:00,273.0
